input1,input1.1,input1.2,input1.3,input1.4,output1_delay4sec,output2_delay4sec,output3_delay4sec,output4_delay4sec,output5_delay4sec,output6_delay4sec,output7_delay4sec
47.30412,0.20527,671.23469,1.01547,-7.64742,2159.9,14.559,14.927,652.48,123.13,566.89,485.54
47.24739,0.17696,675.21164,1.01619,-7.61813,1932.1,14.515,15.067,614.63,122.7,568.49,485.43
47.2228,0.16269,679.09486,1.019655,-7.58519,1877.9,14.504,15.237,607.62,121.22,569.6,485.53
47.3288,-0.06905,683.00743,1.02099,-7.55986,1845.2,14.497,15.214,606.09,121.58,569.44,485.3
47.27976,0.21643,686.86008,1.022315,-7.52917,1689.5,14.459,15.296,589.27,121.65,570.34,485.13
47.2547,0.21257,691.01879,1.03141,-7.49438,1633.1,14.442,15.227,587.24,121.99,570.16,484.99
47.2872,-0.00145,695.00874,1.02704,-7.46509,1574.6,14.426,15.405,584.25,121.12,571.16,485.0
47.21925,0.05617,698.88892,1.02852,-7.43975,1331.2,14.296,15.678,585.56,120.97,573.94,485.18
47.30425,0.01147,700.1312,1.02751,-7.42972,1415.4,14.359,15.408,584.68,121.75,571.64,484.6
47.16205,0.22643,700.126,1.02863,-7.42979,1378.3,14.338,15.457,586.8,121.84,571.99,484.5
47.2078,0.16619,700.1249,1.026035,-7.4298,1401.7,14.352,15.419,587.51,121.63,571.59,484.45
47.18112,0.20927,700.125,1.03291,-7.4298,1373.9,14.336,15.536,586.99,121.48,572.32,484.55
47.23382,0.14762,700.125,1.03017,-7.42982,1440.2,14.374,15.43,586.82,121.56,571.35,484.41
47.20179,0.21246,700.125,1.02567,-7.45874,1312.5,14.273,15.673,592.33,121.32,573.74,484.82
47.31406,0.38159,700.125,1.02275,-7.52781,1346.5,14.313,15.563,589.06,121.38,572.76,484.65
47.17763,0.98969,700.125,1.02342,-7.59819,1449.3,14.38,15.454,583.74,121.59,571.79,484.76
47.33034,0.68959,700.125,1.026905,-7.6685,1547.7,14.421,15.515,580.83,120.91,572.56,485.7
47.23776,1.17894,700.125,1.02209,-7.73074,1511.5,14.415,15.875,568.85,119.72,575.38,487.04
47.37877,1.44414,700.125,1.024985,-7.80075,1397.5,14.367,15.889,559.65,120.43,577.07,487.89
47.09765,1.93196,700.125,1.02347,-7.87108,1554.6,14.435,16.011,557.59,119.56,577.63,488.76
47.32066,1.93233,700.125,1.01828,-7.9414,1440.1,14.398,16.334,543.9,118.26,580.71,490.36
47.2356,2.37942,700.125,1.02007,-8.01171,1484.9,14.422,16.513,536.24,118.26,582.12,491.37
47.17751,2.26657,700.125,1.019315,-8.08191,1699.9,14.487,16.436,548.31,117.74,581.93,492.02
46.02056,2.70423,700.125,1.01904,-8.1503,1612.0,14.468,16.765,530.05,116.89,584.71,493.58
