in1,in2,in3,in4,in1,in2,,,
-93.709,35.395,2000,170.29,1393.4,2470.6,,,
-9.004,34.876,2000,173.05,1386.6,2465.6,,,
-86.085,35.329,2000,168.4,1360.8,2472.6,,,
-74.241,35.022,2000,167.04,1317,2473.1,,,
-74.598,34.793,2000,172.13,1331.3,2467.1,,,
-66.826,34.713,1999.9,171.01,1303.6,2468.3,,,
-57.734,34.78,2000,166.73,1265.2,2473.3,,,
-57.319,34.084,2000,172.29,1278.7,2464.5,,,
-47.823,34.219,2000,170.95,1247.7,2467.1,,,
-46.463,33.979,2000,166.56,1233.7,2470.1,,,
-38.044,33.85,2000,173.35,1226.9,2463.6,,,
-30.426,34.031,2000,170.31,1198.6,2468,,,
-2.603,33.745,2000,166.25,1178.1,2470.6,,,
-25.028,33.754,2000,171.95,1188.8,2465.4,,,
-16.409,33.326,2000,173.29,1170.6,2462.5,,,
-15.103,33.14,2000,168.49,1156.8,2466.2,,,
-0.95303,33.274,2000,166.62,1138.1,2469,,,
-0.54361,33.084,2000,171.56,1139.7,2463.6,,,
-0.20897,32.422,2000,172.61,1136.1,2459.5,,,
0.47449,32.692,2000,170.14,1113.2,2463.7,,,
12.443,32.59,2000,168.04,1091.2,2465.6,,,
19.351,32.53,2000,168.7,1077.4,2465.2,,,
28.795,32.437,2000.1,169.56,1059.6,2464.6,,,
33.346,32.46,2000,174.16,1059.6,2460.7,,,
42.497,32.261,2000,168.92,1032.9,2465.2,,,
39.471,31.927,2000,168.7,1040.4,2463.5,,,
31.451,32.089,2000,168.43,1054,2464,,,
24.747,32.048,2000,170.12,1071.3,2461.7,,,
24.542,32.385,2000,174.76,1079.7,2459.1,,,
17.078,32.485,2000,169.47,1084.3,2464.1,,,
16.922,33.086,2000,168.35,1079.6,2468.2,,,
15.687,32.934,2000,168.11,1082.5,2467.6,,,
0.52378,33.241,2000,170.59,1111.1,2466.1,,,
-0.37776,32.896,2000,173.22,1140,2461.2,,,
-0.56203,33.062,2000,168.16,1132.6,2466.7,,,
-13.268,33.45,2000,167.57,1149.1,2468.8,,,
-22.237,33.143,2000,172.45,1184.3,2461.9,,,
-27.713,33.518,2000,170.39,1192.8,2465.4,,,
-30.127,34.047,2000,168.26,1192.9,2470,,,
-34.968,33.867,2000,170.25,1211.1,2466.9,,,
-30.582,34.108,2000,173.63,1206.7,2465.2,,,
-46.281,34.443,2000,167.89,1235.5,2471.3,,,
-51.917,34.237,2000,167.87,1251.9,2469.8,,,
-51.217,34.268,2000,173.07,1262.5,2465.1,,,
-60.869,34.474,2000,168.28,1278.8,2470.1,,,
-63.347,34.814,2000,168.88,1287.4,2471.1,,,
-69.259,34.752,2000,172.66,1315.4,2466.8,,,
-81.997,34.689,2000,167.68,1344.4,2470.3,,,
-83.203,35.042,2000,168.84,1351.7,2470.9,,,
-87.962,35.514,2000,171.38,1375.5,2470.6,,,
-95.836,35.697,2000,172.68,1408.1,2469.8,,,
-9.864,35.634,2000,166.9,1403.2,2474.7,,,
-10.163,35.666,2000,170.31,1423.6,2471.5,,,
-11.358,35.952,2000,172.03,1473.5,2470.5,,,
-11.069,36.127,2000,170.87,1460.4,2472.7,,,
-11.787,36.309,2000,166.78,1476.6,2477,,,
-12.385,36.313,2000,171.08,1507.3,2472.5,,,
-12.928,36.427,2000,171.77,1525.5,2472.1,,,
-13.781,36.422,2000,171.09,1546.1,2472.1,,,
-13.937,36.45,2000,165.7,1538.3,2477.2,,,
-14.447,36.904,2000,170.09,1557.8,2475.1,,,
-14.777,37.158,2000,171.56,1566.3,2474.8,,,
-15.724,37.219,2000,171.81,1581.1,2474.2,,,
-16.412,37.271,1999.9,168.39,1584.4,2477.2,,,
-16.549,37.334,2000,167.64,1584.8,2478.2,,,
-17.482,37.327,2000,171.2,1602.5,2474.1,,,
-18.153,37.375,2000,171.18,1610.8,2473.9,,,
-18.938,37.598,2000,171.17,1620.3,2474.5,,,
-18.609,37.973,2000,170.43,1614.4,2477.4,,,
-19.378,38.112,2000,169.46,1622.3,2478.5,,,
-20.389,38.253,2000,170.24,1633.8,2477.7,,,
-20.531,38.382,2000,170.98,1635.8,2477.6,,,
-21.248,38.743,2000,164.96,1629.9,2484.7,,,
-22.008,38.264,2000,170.11,1640.4,2476.7,,,
-22.747,38.482,2000,170.23,1637.8,2477.2,,,
-22.601,38.95,2000,168.57,1634.1,2481.3,,,
-23.516,39.071,2000,169.84,1629.2,2480.1,,,
-23.696,38.957,2000,170.67,1629.3,2478.6,,,
-24.491,39.207,2000,169.94,1617.3,2479.9,,,
-25.071,39.549,2000,169.57,1606.3,2481.6,,,
-25.329,39.643,2000,170.85,1603.9,2480.7,,,
-26.249,39.751,2000,170.14,1585.2,2481.2,,,
-26.989,39.806,2000,170.02,1569.4,2480.9,,,
-27.173,39.608,2000,171.12,1568.7,2478.7,,,
-27.318,39.748,2000,170.82,1564.1,2479.5,,,
-28.025,40.369,2000,170.39,1543.5,2482.5,,,
-28.743,40.091,2000,170.14,1527.7,2480.5,,,
-28.889,40.303,2000,170.4,1523.4,2481.2,,,
-29.586,40.614,2000,170.59,1504.7,2481.7,,,
-30.054,40.798,2000,170.34,1491.4,2482.3,,,
-30.218,40.719,2000,171.02,1489.1,2480.9,,,
-30.866,40.411,2000,166.29,1465.6,2482.8,,,
-30.994,41.207,2000,170.72,1466,2482.4,,,
-32.307,42.088,2000,170.05,1426.6,2484.6,,,
-32.949,41.872,2000,171.74,1415,2479.4,,,
-33.607,41.787,2000,170.48,1396.8,2477.4,,,
-33.447,42.13,2000,166.41,1391.3,2484.5,,,
-34.066,41.966,2000,171.67,1386.7,2474.6,,,
-33.835,42.02,2000,171.98,1392.7,2475.9,,,
-35.011,41.935,2000,166.47,1354.3,2473.8,,,
-35.78,41.802,2000,171.67,1345.9,2459.4,,,
-35.395,41.909,2000,172.14,1355.5,2463.5,,,
-35.938,41.612,2000,165.74,1332.4,2464,,,
-35.751,42.087,2000,171.67,1345,2461.5,,,
-35.796,41.957,2000,171.97,1345.2,2459.8,,,
-35.579,42.11,2000,166.51,1339.7,2469.9,,,
-35.862,41.997,2000,172.25,1343.9,2459,,,
-35.847,42.027,2000,171.42,1342.6,2460.4,,,
-35.767,41.948,2000,166.06,1335.3,2467.5,,,
-34.617,42.307,2000,170.69,1369.5,2474.1,,,
-34.548,41.387,2000,172.23,1379.2,2467.3,,,
-33.414,40.247,2000,171.36,1412.1,2468.6,,,
-33.06,40.792,2000,166.44,1408.6,2478.5,,,
-32.755,40.337,2000,171.32,1428,2472,,,
-31.633,40.266,2000,171.45,1457,2475.1,,,
-31.716,40.022,2000,170.89,1455.3,2474.1,,,
-32.087,39.743,2000,166.15,1438.6,2476.4,,,
-30.604,39.056,2000,169.6,1486.9,2472.7,,,
-29.984,39.162,2000,171.4,1505.3,2472.6,,,
-29.465,39.053,2000,171.51,1519.1,2472.7,,,
-29.26,38.229,2000,170.52,1527.5,2469.6,,,
-28.491,38.096,2000,171.54,1548.8,2468.9,,,
-28.057,38.044,2000,166.15,1548.9,2474.3,,,
-27.556,38.144,2000,170.75,1568.3,2471,,,
-27.368,38.032,2000,170.2,1572,2471.1,,,
-27.436,37.385,2000,169.56,1573.2,2468.2,,,
-25.537,36.325,2000,170.64,1617.2,2463.4,,,
-25.4,36.368,2000,170.94,1619.7,2463.4,,,
-25.104,36.35,2000,169.83,1622.2,2464.6,,,
-24.291,36.013,2000,170.15,1634.9,2463.2,,,
-23.71,35.771,2000,170.68,1642.6,2461.9,,,
-23.312,35.415,2000,170.93,1647.4,2460.1,,,
-22.447,35,2000,166.69,1644.9,2462.6,,,
-22.227,34.852,2000,169.12,1649.3,2459.7,,,
-21.365,34.744,2000,169.78,1647.8,2459.2,,,
-20.423,34.253,2000,169.09,1640.5,2458,,,
-20.44,34.159,2000,170.52,1643,2456.1,,,
-20.232,33.564,2000,170.83,1642.8,2452.9,,,
-19.257,34.021,2000,169.73,1629.3,2457,,,
-18.863,33.663,2000,169.38,1625,2455.8,,,
-18.982,32.968,2000,170.37,1629.8,2451.1,,,
-17.855,32.817,2000,171.52,1619.1,2450.1,,,
-17.082,32.759,2000,170.23,1607.5,2451.5,,,
-16.715,32.258,2000,170.49,1604.5,2449,,,
-16.537,31.915,2000,170.79,1603.5,2447,,,
-15.193,31.706,2000,169.96,1578.2,2447.7,,,
-14.784,31.431,2000,169.36,1567.7,2447.1,,,
-14.337,31.043,2000,170.12,1558.1,2444.7,,,
-13.866,31.073,2000,170.94,1546.5,2444.4,,,
-13.642,30.483,2000,170.28,1537.8,2442.1,,,
-12.478,30.491,2000,170.57,1499.7,2442.7,,,
-12.137,30.021,2000,170.28,1486.6,2440.8,,,
-11.595,30.151,2000,166.06,1456.4,2445.9,,,
-11.354,29.54,2000,170.71,1460,2438.5,,,
-10.638,29.083,2000,170.52,1434.8,2436.8,,,
