,Filename,Input,Output,CrossCorr2,PolyRegre2,LinRegre2,ARXM2,LSTM2,BestMethod2,BestDelay2
37,cleaned_transformed_ds4.csv,"Index(['in1', 'in2', 'in3', 'in4', 'in5', 'in6', 'in7', 'in8'], dtype='object')",out2_6sec_shift_noise,8.0,6.0,0.0,0.0,0,PolyRegre2,6.0
38,cleaned_transformed_ds4.csv,"Index(['in1', 'in2', 'in3', 'in4', 'in5', 'in6', 'in7', 'in8'], dtype='object')",out2_6sec_shift_filt,8.0,6.0,0.0,0.6303857106389537,0,PolyRegre2,6.0
39,cleaned_transformed_ds4.csv,"Index(['in1', 'in2', 'in3', 'in4', 'in5', 'in6', 'in7', 'in8'], dtype='object')",out2_6sec_shift_noise_filt,8.0,6.0,0.0,0.0,0,PolyRegre2,6.0
40,cleaned_transformed_ds4.csv,"Index(['in1', 'in2', 'in3', 'in4', 'in5', 'in6', 'in7', 'in8'], dtype='object')",out2_8sec_shift,8.0,6.0,0.0,0.0,0,CrossCorr2,8.0
41,cleaned_transformed_ds4.csv,"Index(['in1', 'in2', 'in3', 'in4', 'in5', 'in6', 'in7', 'in8'], dtype='object')",out2_8sec_shift_noise,8.0,6.0,0.0,0.0,0,CrossCorr2,8.0
42,cleaned_transformed_ds4.csv,"Index(['in1', 'in2', 'in3', 'in4', 'in5', 'in6', 'in7', 'in8'], dtype='object')",out2_8sec_shift_filt,8.0,6.0,0.0,0.1655548151166194,0,CrossCorr2,8.0
43,cleaned_transformed_ds4.csv,"Index(['in1', 'in2', 'in3', 'in4', 'in5', 'in6', 'in7', 'in8'], dtype='object')",out2_8sec_shift_noise_filt,8.0,6.0,0.0,0.0639641866834911,0,CrossCorr2,8.0
44,cleaned_transformed_ds4.csv,"Index(['in1', 'in2', 'in3', 'in4', 'in5', 'in6', 'in7', 'in8'], dtype='object')",out2_10sec_shift,8.0,6.0,0.0,0.0,0,CrossCorr2,8.0
45,cleaned_transformed_ds4.csv,"Index(['in1', 'in2', 'in3', 'in4', 'in5', 'in6', 'in7', 'in8'], dtype='object')",out2_10sec_shift_noise,8.0,6.0,0.0,0.0,0,CrossCorr2,8.0
46,cleaned_transformed_ds4.csv,"Index(['in1', 'in2', 'in3', 'in4', 'in5', 'in6', 'in7', 'in8'], dtype='object')",out2_10sec_shift_filt,8.0,6.0,0.0,0.6213923643302364,0,CrossCorr2,8.0
