in1,in2,in3,in4,out1,out2,out1_2sec_shift,out1_2sec_shift_noise,out1_2sec_shift_filt,out1_2sec_shift_noise_filt,out1_4sec_shift,out1_4sec_shift_noise,out1_4sec_shift_filt,out1_4sec_shift_noise_filt,out1_6sec_shift,out1_6sec_shift_noise,out1_6sec_shift_filt,out1_6sec_shift_noise_filt,out1_8sec_shift,out1_8sec_shift_noise,out1_8sec_shift_filt,out1_8sec_shift_noise_filt,out1_10sec_shift,out1_10sec_shift_noise,out1_10sec_shift_filt,out1_10sec_shift_noise_filt,out2_2sec_shift,out2_2sec_shift_noise,out2_2sec_shift_filt,out2_2sec_shift_noise_filt,out2_4sec_shift,out2_4sec_shift_noise,out2_4sec_shift_filt,out2_4sec_shift_noise_filt,out2_6sec_shift,out2_6sec_shift_noise,out2_6sec_shift_filt,out2_6sec_shift_noise_filt,out2_8sec_shift,out2_8sec_shift_noise,out2_8sec_shift_filt,out2_8sec_shift_noise_filt,out2_10sec_shift,out2_10sec_shift_noise,out2_10sec_shift_filt,out2_10sec_shift_noise_filt
-30.595,42.266,3000.0,597.96,2445.3,1957.3,2446.7,2447.8380105317055,2421.07511044871,2421.4134290936954,2370.5,2370.2474105309266,2366.37156557146,2365.7167710769827,2350.4,2348.7001480177805,2344.5467233578534,2344.1764883377136,2321.9,2322.4446033708055,2324.968802013417,2324.4988750003827,2298.0,2299.4349971897323,2302.8769087762075,2302.9122927804665,1944.1,1944.0932267666462,1937.0312681857608,1937.654792464513,1906.2,1905.4776463475582,1899.5666210613629,1899.6343133502305,1874.5,1875.3922860223674,1873.202573547337,1873.0112226852302,1850.7,1851.1231822188042,1854.9578759583849,1855.0257135185286,1840.5,1839.0037730524095,1841.3543672787323,1841.8182712573644
-29.764,42.602,3000.0,599.09,2473.6,1970.7,2441.0,2441.43026561181,2441.013556414388,2441.1987861959506,2365.2,2366.5276248215805,2389.537034684483,2389.174849770213,2345.6,2345.972662934998,2353.522590984238,2353.4481950228037,2333.1,2333.368172764322,2334.6872899562723,2334.5800689775033,2322.5,2321.4958252789083,2315.227579108718,2315.676148630596,1956.7,1956.1198451210184,1951.8185426238292,1952.4633935471722,1908.6,1908.6291022216567,1917.4487632977443,1917.3017578584736,1874.8,1875.6866662223777,1883.9314968203203,1884.1111913650893,1866.9,1865.1489139963219,1864.3320972878616,1864.1769964615082,1848.9,1849.5935496222091,1847.5506924965757,1848.150835685149
-29.182,42.568,3000.0,599.61,2495.0,1978.1,2445.3,2445.433110077627,2453.8967397451934,2454.4183174231925,2446.7,2447.571400665573,2421.07511044871,2421.3215461861864,2370.5,2372.1943055817733,2366.37156557146,2366.086206570435,2350.4,2351.711819467118,2344.5467233578534,2344.8982307968654,2321.9,2323.2419259605567,2324.968802013417,2325.6169880647867,1957.3,1958.9104593166967,1960.6931673982976,1960.7918496842085,1944.1,1942.1872527405994,1937.0312681857608,1937.1781491648958,1906.2,1907.4650558073806,1899.5666210613629,1899.9537301835464,1874.5,1874.2308370721755,1873.202573547337,1872.4804789664101,1850.7,1850.9023579960538,1854.9578759583849,1854.999768751236
-28.578,42.576,3000.0,606.0,2531.8,1980.8,2473.6,2473.1257926906433,2473.4635290916185,2474.415534303039,2441.0,2441.4421383538647,2441.013556414388,2441.429393494623,2365.2,2364.054295899856,2389.537034684483,2389.1824454895423,2345.6,2345.563036392583,2353.522590984238,2353.9664915186695,2333.1,2332.298260287016,2334.6872899562723,2335.362307632311,1970.7,1970.4622349023437,1968.9911583837315,1968.3822710309057,1956.7,1956.045037999745,1951.8185426238292,1952.5865011762899,1908.6,1908.960090348219,1917.4487632977443,1917.7254700918324,1874.8,1876.4761775847603,1883.9314968203203,1883.3998475713784,1866.9,1866.257855551453,1864.3320972878616,1864.0622260006746
-28.125,42.412,3000.0,600.76,2535.9,1988.1,2495.0,2493.435106989601,2498.203848301058,2499.3722429947725,2445.3,2445.5309275871664,2453.8967397451934,2454.009851797889,2446.7,2446.407857318105,2421.07511044871,2420.7393019944057,2370.5,2370.7729535661774,2366.37156557146,2366.515126950435,2350.4,2350.7760338332296,2344.5467233578534,2345.278288771162,1978.1,1977.6873535239613,1976.336770689723,1975.927390448795,1957.3,1957.1239097047871,1960.6931673982976,1962.296275234151,1944.1,1943.7943422292135,1937.0312681857608,1937.3831470314271,1906.2,1907.5680059655238,1899.5666210613629,1899.5083648525251,1874.5,1873.5786345205063,1873.202573547337,1873.359948499061
-27.955,42.413,3000.0,599.1,2537.7,1990.4,2531.8,2529.260769236414,2520.81583125425,2521.9477156152234,2473.6,2475.5768199268227,2473.4635290916185,2473.040710548029,2441.0,2441.8991615163013,2441.013556414388,2440.716227134324,2365.2,2366.406951503417,2389.537034684483,2389.287621052951,2345.6,2346.517577396165,2353.522590984238,2354.491970915286,1980.8,1980.6346306475991,1981.8357150958936,1982.2574016764245,1970.7,1970.4239361266775,1968.9911583837315,1970.7183588898652,1956.7,1957.4718521543282,1951.8185426238292,1951.9049828055195,1908.6,1907.3015179675733,1917.4487632977443,1917.878854497675,1874.8,1874.482663673298,1883.9314968203203,1884.536362609559
-27.385,42.265,3000.0,600.84,2563.4,1993.2,2535.9,2536.3327898981693,2534.5676299334723,2535.070862532647,2495.0,2495.405458984262,2498.203848301058,2497.572879510764,2445.3,2448.11612000435,2453.8967397451934,2453.9176777320463,2446.7,2446.636205532244,2421.07511044871,2420.153375246205,2370.5,2370.8556801232285,2366.37156557146,2367.2556484506977,1988.1,1989.2415178895462,1986.5813052129856,1987.4052024136736,1978.1,1979.3555765478875,1976.336770689723,1977.6525859993892,1957.3,1955.9867085947653,1960.6931673982976,1960.0217519310409,1944.1,1943.2894286623969,1937.0312681857608,1937.906677240247,1906.2,1905.4097832435205,1899.5666210613629,1900.371385146414
-26.749,42.231,3000.0,601.55,2587.8,1996.2,2537.7,2536.141402771444,2545.8650312415584,2545.5747213687464,2531.8,2531.542964688769,2520.81583125425,2520.887945818803,2473.6,2473.5307864549472,2473.4635290916185,2474.0192836519727,2441.0,2440.8683058821316,2441.013556414388,2439.843817775407,2365.2,2364.70108367997,2389.537034684483,2389.9866389969793,1990.4,1990.4471974298333,1990.285122236091,1990.9014415568429,1980.8,1981.2335257088187,1981.8357150958936,1982.5268199708462,1970.7,1971.0987538302868,1968.9911583837315,1968.375339634596,1956.7,1957.8201941009997,1951.8185426238292,1952.5216883758872,1908.6,1909.3002874708145,1917.4487632977443,1918.2553616712657
-26.917,42.478,3000.0,601.47,2579.7,1996.0,2563.4,2562.6662237197575,2562.466146864074,2561.790083147481,2535.9,2534.762976573338,2534.5676299334723,2535.3234338738102,2495.0,2495.522840147957,2498.203848301058,2498.783023465505,2445.3,2445.448459313848,2453.8967397451934,2453.321770707459,2446.7,2446.1656939997324,2421.07511044871,2421.1130214231343,1993.2,1994.9095741691553,1993.1099153815192,1993.5879131342238,1988.1,1988.3319463394114,1986.5813052129856,1986.7298999855711,1978.1,1977.5885215987994,1976.336770689723,1976.3789175315192,1957.3,1959.160104266957,1960.6931673982976,1960.6655089021478,1944.1,1944.1123588404264,1937.0312681857608,1937.5421449138744
-25.992,42.509,3000.0,593.57,2591.4,2002.6,2587.8,2589.0897372417035,2577.4377688442555,2576.8564769101667,2537.7,2537.2354715529355,2545.8650312415584,2546.404739857184,2531.8,2531.5689617584517,2520.81583125425,2521.2164442035637,2473.6,2474.3508956744245,2473.4635290916185,2473.5012977524234,2441.0,2441.7686097322694,2441.013556414388,2440.718536077183,1996.2,1996.7528850592525,1995.4409551841234,1995.938623136285,1990.4,1989.3516112536167,1990.285122236091,1990.413745259478,1980.8,1981.1426983457036,1981.8357150958936,1982.1874673151065,1970.7,1971.2130834750772,1968.9911583837315,1968.45978867641,1956.7,1958.1697966601566,1951.8185426238292,1952.0980518770975
