Unnamed: 0,in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6,out7,out8,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
1166,32.696,586.57,1250.1,-15.526,15.0,10.292,4964.9,13.88,80.679,1019.0,,651.78,583.46,1788.9,,,,,,,,
1167,31.791,590.84,1250.0,-15.127,15.0,10.296,4924.3,13.879,80.417,1033.1,,648.13,580.23,1813.1,,,,,,,,
1168,32.193,578.61,1249.9,-14.742,15.0,1.031,4874.4,13.863,79.297,984.57,,647.98,579.08,1810.4,,,,,,,,
1169,32.975,586.93,1250.2,-14.329,15.0,10.278,5024.6,13.892,80.937,998.4,,652.34,584.18,1783.1,,,,,,,,
1170,31.883,590.47,1250.0,-13.932,15.0,10.298,4874.7,13.881,80.352,1011.6,,647.7,579.99,1809.3,,,,,,,,
1171,32.168,580.08,1249.9,-13.541,15.0,10.301,4897.9,13.872,79.407,968.48,,647.33,578.72,1811.7,,,,,,,,
1172,33.117,583.33,1250.2,-13.134,15.0,10.296,4881.3,13.883,80.463,966.56,,651.62,583.41,1777.3,,,,,,,,
1173,32.339,587.16,1250.0,-12.726,15.0,10.306,4797.8,13.88,80.205,977.01,,648.41,580.67,1795.9,,,,,,,,
1174,32.106,588.79,1250.0,-12.337,15.0,10.293,4877.9,13.888,80.263,976.13,,647.42,579.79,1805.3,,,,,,,,
1175,32.146,587.71,1250.0,-11.956,15.0,10.304,4792.9,13.883,80.084,966.36,,647.15,579.57,1801.5,,,,,,,,
1176,32.376,587.15,1250.0,-11.537,15.0,10.307,4756.4,13.883,80.146,955.62,,647.78,580.24,1793.7,,,,,,,,
1177,32.262,587.53,1250.0,-11.142,15.0,10.307,4748.2,13.884,80.074,950.4,,647.07,579.62,1796.6,,,,,,,,
1178,32.367,587.86,1250.0,-10.737,15.0,10.294,4824.3,13.892,80.241,942.34,,647.36,579.93,1796.7,,,,,,,,
1179,32.34,589.53,1250.0,-10.34,15.0,1.03,4764.0,13.892,80.341,941.27,,647.16,579.99,1793.5,,,,,,,,
1180,32.334,589.77,1250.0,-9.932,15.0,10.306,4710.5,13.89,80.295,934.96,,646.85,579.8,1791.3,,,,,,,,
1181,32.208,588.8,1249.9,-95.317,15.0,1.03,4750.0,13.893,80.106,924.33,,645.95,578.83,1797.6,,,,,,,,
1182,32.39,588.38,1250.1,-91.414,15.0,10.303,4716.4,13.892,8.016,914.66,,646.42,579.36,1791.2,,,,,,,,
1183,32.411,592.59,1250.1,-87.289,15.0,10.314,4604.1,13.891,80.541,921.95,,646.72,580.17,1782.0,,,,,,,,
1184,31.488,598.59,1249.9,-83.286,15.0,10.316,4569.4,13.892,80.445,941.32,,643.22,577.21,1801.1,,,,,,,,
1185,31.917,590.03,1250.0,-79.336,15.0,10.292,4761.5,13.9,79.975,898.32,,643.85,577.05,1804.7,,,,,,,,
1186,32.41,590.33,1250.0,-75.281,15.0,10.283,4806.7,13.909,80.401,887.23,,645.74,578.99,1792.7,,,,,,,,
1187,32.566,587.01,1250.0,-7.133,15.0,10.318,4568.8,13.888,79.916,871.31,,645.55,578.77,1780.7,,,,,,,,
1188,32.446,595.89,1250.0,-67.348,15.0,10.299,4643.7,13.907,80.886,891.72,,645.99,579.93,1779.9,,,,,,,,
1189,31.706,597.14,1250.0,-63.219,15.0,10.311,4559.9,13.898,80.361,893.13,,642.66,576.82,1795.0,,,,,,,,
1190,32.075,587.83,1250.0,-59.329,15.0,10.301,4662.8,13.899,79.674,849.99,,642.85,576.24,1796.8,,,,,,,,
1191,33.028,589.08,1250.2,-55.312,15.0,10.309,4571.9,13.9,80.457,843.22,,646.77,580.34,1765.1,,,,,,,,
1192,32.216,597.11,1250.0,-5.153,15.0,10.309,4536.8,13.903,80.681,864.99,,644.04,578.37,1779.7,,,,,,,,
1193,31.933,594.4,1249.9,-47.579,15.0,10.316,4501.2,13.896,8.01,849.76,,642.18,576.38,1787.4,,,,,,,,
1194,32.042,594.66,1250.0,-43.579,15.0,10.309,4538.3,13.902,80.232,840.29,,642.44,576.68,1785.5,,,,,,,,
1195,32.177,594.14,1250.1,-39.344,15.0,10.317,4480.4,13.898,80.209,829.74,,642.64,576.94,1779.3,,,,,,,,
1196,32.352,593.35,1250.0,-35.336,15.0,10.299,4595.7,13.91,80.334,815.26,,643.06,577.25,1780.0,,,,,,,,
1197,32.21,593.12,1250.0,-31.408,15.0,10.313,4498.2,13.901,80.089,808.17,,642.1,576.4,1779.1,,,,,,,,
1198,32.562,594.84,1250.1,-27.293,15.0,10.295,4602.0,13.915,80.642,801.87,,643.63,578.02,1772.3,,,,,,,,
1199,32.04,603.19,1250.0,-23.231,15.0,10.309,4473.7,13.909,81.036,823.44,,642.12,577.32,1773.2,,,,,,,,
1200,31.362,597.54,1249.8,-19.291,15.0,10.301,4562.3,13.909,79.919,796.82,,638.28,573.04,1797.4,,,,,,,,
1201,32.617,593.9,1250.2,-15.453,15.0,10.281,4694.4,13.925,8.06,771.83,,643.0,577.38,1773.5,,,,,,,,
1202,31.984,602.46,1250.0,-1.123,15.0,10.306,4491.4,13.911,80.857,793.68,,640.98,576.25,1773.7,,,,,,,,
1203,31.737,594.34,1250.0,-0.73275,15.0,10.301,4557.5,13.91,79.789,758.35,,638.66,573.34,1787.9,,,,,,,,
1204,32.722,596.51,1250.2,-0.32389,15.0,1.032,4405.1,13.902,80.647,758.14,,642.76,577.68,1753.6,,,,,,,,
1205,32.014,601.51,1250.0,0.06937,15.0,10.299,4545.9,13.917,80.748,763.48,,640.19,575.49,1773.2,,,,,,,,
1206,31.93,601.11,1250.0,0.46421,15.0,10.298,4553.6,13.917,80.616,753.67,,639.5,574.82,1774.9,,,,,,,,
1207,32.118,598.89,1250.1,0.86976,15.0,10.321,4404.5,13.9,80.356,740.05,,639.65,574.95,1764.1,,,,,,,,
1208,32.042,599.89,1250.0,12.671,15.0,10.309,4488.7,13.909,80.457,733.78,,639.23,574.59,1767.9,,,,,,,,
1209,32.112,601.55,1250.0,16.599,15.0,10.297,4569.6,13.919,80.745,730.16,,639.51,574.98,1767.2,,,,,,,,
1210,32.167,601.39,1250.0,20.076,15.0,10.301,4545.9,13.916,80.723,722.95,,639.46,574.97,1763.8,,,,,,,,
1211,32.084,600.08,1250.0,24.499,15.0,10.316,4454.0,13.904,80.385,710.66,,638.55,574.08,1761.3,,,,,,,,
1212,32.185,600.84,1250.0,28.468,15.0,10.313,4478.4,13.907,80.548,705.12,,638.83,574.43,1757.8,,,,,,,,
1213,32.238,596.83,1250.0,32.489,15.0,10.322,4433.9,13.899,80.067,685.49,,638.22,573.61,1756.1,,,,,,,,
1214,32.225,603.66,1250.1,36.469,15.0,10.286,4674.8,13.928,81.016,697.35,,638.93,574.69,1760.2,,,,,,,,
1215,31.522,607.81,1250.0,40.513,15.0,10.297,4613.5,13.917,80.826,701.03,,636.17,572.38,1769.2,,,,,,,,
1216,31.772,599.43,1250.0,44.453,15.0,10.298,4624.0,13.915,80.072,668.66,,635.87,571.5,1768.9,,,,,,,,
1217,32.663,593.26,1250.0,48.499,15.0,10.317,4505.4,13.903,79.931,646.03,,638.43,573.61,1745.0,,,,,,,,
1218,32.366,602.62,1249.9,52.506,15.0,10.302,4612.5,13.915,80.801,664.89,,638.15,574.01,1748.1,,,,,,,,
1219,32.054,600.76,1250.0,56.485,15.0,10.297,4662.2,13.917,80.369,650.99,,636.39,572.18,1757.4,,,,,,,,
1220,31.795,600.49,1249.9,6.053,15.0,10.319,4531.6,13.897,79.965,642.6,,634.86,570.81,1755.9,,,,,,,,
1221,31.888,598.39,1249.9,64.537,15.0,10.298,4687.7,13.915,79.919,629.19,,634.81,570.52,1760.5,,,,,,,,
1222,31.989,599.4,1249.9,68.616,15.0,10.294,4729.2,13.918,80.108,625.1,,635.08,570.87,1757.2,,,,,,,,
1223,32.06,593.91,1250.0,72.677,15.0,10.304,4672.9,13.908,79.467,602.85,,634.35,569.82,1755.1,,,,,,,,
1224,32.252,596.32,1249.9,76.573,15.0,10.308,4665.3,13.906,79.835,603.43,,635.17,570.81,1746.1,,,,,,,,
1225,32.312,593.08,1250.1,79.778,15.0,10.296,4751.1,13.915,79.586,589.32,,634.86,570.23,1749.3,,,,,,,,
1226,32.647,589.52,1250.0,80.007,15.0,10.305,4692.2,13.91,7.939,580.56,,635.73,570.81,1740.9,,,,,,,,
1227,32.516,602.33,1250.1,8.0,15.0,10.297,4750.5,13.917,8.077,615.67,,636.87,572.87,1736.7,,,,,,,,
1228,31.018,601.53,1249.8,8.0,15.0,10.301,4731.6,13.906,79.467,609.9,,630.47,566.68,1771.5,,,,,,,,
1229,31.684,591.82,1249.9,8.0,15.0,10.303,4709.6,13.906,78.907,583.79,,632.0,567.46,1763.4,,,,,,,,
1230,32.543,590.81,1249.9,8.0,15.0,10.304,4699.1,13.91,79.453,583.61,,635.45,570.64,1742.9,,,,,,,,
1231,32.563,592.39,1249.9,8.0,15.0,10.291,4782.2,13.921,79.723,588.19,,635.79,571.03,1745.0,,,,,,,,
1232,32.473,593.94,1250.1,8.0,14.999,10.297,4746.0,13.916,79.801,591.95,,635.63,571.03,1744.2,,,,,,,,
1233,31.815,596.28,1249.9,8.0,14.771,10.327,4569.1,13.886,79.343,593.43,,632.96,568.88,1749.5,,,,,,,,
1234,31.004,591.42,1249.9,8.0,14.397,10.347,4462.5,13.863,78.063,576.25,,628.8,564.78,1765.3,,,,,,,,
1235,31.339,568.8,1249.9,8.0,14.021,10.361,4378.1,13.85,75.816,513.73,,627.29,562.03,1771.0,,,,,,,,
1236,32.328,565.85,1249.9,8.0,13.646,10.356,4423.6,13.859,76.234,501.88,,631.0,565.24,1750.6,,,,,,,,
1237,31.6,560.99,1250.0,8.0,13.27,10.401,4171.1,13.813,74.932,486.03,,627.14,561.84,1759.0,,,,,,,,
1238,30.514,560.88,1249.9,8.0,12.881,10.395,4232.8,13.811,74.205,484.19,,622.57,557.6,1786.5,,,,,,,,
1239,29.874,549.6,1249.9,8.0,12.506,10.408,4170.0,13.793,72.577,457.75,,618.47,553.32,1807.8,,,,,,,,
1240,30.149,531.69,1249.8,8.0,12.118,10.421,4113.6,13.779,70.925,413.82,,617.45,551.59,1819.7,,,,,,,,
1241,30.528,530.77,1249.9,8.0,11.74,10.428,4089.8,13.772,71.015,406.07,,618.86,552.89,1811.5,,,,,,,,
1242,29.602,514.58,1249.9,8.0,11.374,10.452,3995.3,13.739,6.885,375.88,,613.1,547.24,1853.2,,,,,,,,
1243,29.715,502.99,1249.9,8.0,11.009,10.467,3953.6,13.72,67.787,350.79,,612.23,546.16,1873.5,,,,,,,,
1244,29.355,483.41,1249.9,8.0,10.646,10.493,3900.5,13.681,65.782,316.61,,608.42,542.57,1932.6,,,,,,,,
1245,28.491,471.42,1249.9,8.0,10.271,10.492,4029.7,13.663,64.366,298.44,,603.28,537.27,1994.0,,,,,,,,
1246,29.043,453.17,1249.9,8.0,98.948,10.514,4040.7,13.626,6.298,265.97,,602.93,537.02,2071.3,,,,,,,,
1247,29.68,444.57,1249.9,8.0,95.109,10.496,4242.9,13.625,62.591,247.98,,604.14,536.75,2112.5,,,,,,,,
1248,28.744,428.54,1250.0,8.0,91.464,10.535,4213.4,13.564,60.663,228.47,,596.94,531.54,2241.3,,,,,,,,
1249,27.769,418.46,1249.8,8.0,87.715,10.515,4549.4,13.542,59.387,216.54,,590.51,524.43,2328.6,,,,,,,,
1250,27.927,400.31,1249.9,8.0,83.926,10.525,4748.1,13.493,57.789,191.65,,586.21,520.64,2483.8,,,,,,,,
1251,28.448,387.76,1250.0,8.0,80.112,10.549,4756.1,13.453,56.809,173.53,,584.29,519.69,2607.0,,,,,,,,
1252,28.414,370.62,1249.8,8.0,76.273,10.579,4824.1,13.394,55.033,153.48,,578.04,515.15,2790.1,,,,,,,,
1253,28.945,362.35,1249.9,8.0,72.522,10.586,4891.9,13.369,54.486,141.46,,577.02,514.08,2867.8,,,,,,,,
1254,28.305,345.92,1249.9,8.0,68.892,10.601,5104.3,13.309,52.379,125.88,,568.01,506.43,3065.4,,,,,,,,
1255,29.139,327.42,1250.0,8.0,65.027,10.629,5169.9,13.25,50.781,105.51,,563.94,502.9,3220.3,,,,,,,,
1256,30.096,321.73,1250.0,8.0,61.247,1.062,5303.9,13.237,50.771,96.508,,565.38,503.08,3226.4,,,,,,,,
1257,29.444,306.87,1249.9,8.0,57.435,10.657,5325.8,13.178,48.521,85.078,,556.45,495.94,3426.0,,,,,,,,
1258,30.268,294.64,1250.1,8.0,53.804,10.704,5134.6,13.141,47.468,73.137,,554.64,494.55,3500.9,,,,,,,,
1259,29.824,281.97,1249.8,8.0,50.058,10.699,5439.0,13.091,4.558,63.998,94873.0,547.5,487.53,3656.6,,,,,,,,
1260,31.147,262.31,1249.8,8.0,46.292,10.708,5648.2,13.031,43.927,48.166,81690.0,544.89,483.58,3729.4,,,,,,,,
1261,31.644,259.28,1250.1,8.0,4.268,1.075,5345.6,13.027,43.798,44.724,70004.0,545.4,484.53,3738.6,,,,,,,,
1262,28.949,252.73,1249.8,78.567,43.317,1.076,5552.8,12.982,40.882,46.593,53521.0,531.81,473.36,4018.5,,,,,,,,
1263,30.153,248.11,1250.1,74.807,51.042,1.071,5895.6,12.974,41.257,45.582,68409.0,535.91,474.95,3885.6,,,,,,,,
1264,30.846,258.4,1250.0,71.151,58.832,10.642,6167.3,13.028,43.352,53.953,,543.72,480.42,3672.7,,,,,,,,
1265,30.17,262.77,1250.0,67.281,66.812,10.637,6093.2,13.05,43.465,62.555,,543.5,480.58,3634.6,,,,,,,,
1266,28.41,279.96,1250.0,63.428,74.986,10.639,5816.9,13.105,44.512,83.724,,543.9,482.63,3557.5,,,,,,,,
1267,27.097,282.26,1250.1,5.989,82.462,1.061,6017.2,13.116,43.974,93.781,,540.32,479.29,3545.4,,,,,,,,
1268,25.575,297.1,1250.1,55.989,9.051,10.591,5929.3,13.172,44.945,116.61,,540.87,480.41,3383.5,,,,,,,,
