Filename,Output,CC1,PR1,LR1,AR1,LM1,CC2,PR2,LR2,AR2,LM2
cleaned_transformed_ds6.csv,out5_4sec_shift_filt,1,3,2,4,0,3.9999999950192935,4.99999999529229,1.999999994829128,2.999999995102124,0
cleaned_transformed_ds6.csv,out5_4sec_shift_noise_filt,1,3,2,4,0,3.9999999950192935,4.99999999529229,1.999999994829128,2.999999995102124,0
cleaned_transformed_ds6.csv,out5_6sec_shift,1,3,2,2,0,3.999999995019536,4.9999999952922485,1.999999994829591,0.9999999949121008,0
cleaned_transformed_ds6.csv,out5_6sec_shift_noise,1,3,2,2,0,3.999999995019536,4.9999999952922485,1.999999994829591,0.9999999949121008,0
cleaned_transformed_ds6.csv,out5_6sec_shift_filt,1,3,2,3,0,3.9999999950192935,4.99999999529229,1.999999994829128,2.999999995102124,0
cleaned_transformed_ds6.csv,out5_6sec_shift_noise_filt,1,3,2,3,0,3.9999999950192935,4.99999999529229,1.999999994829128,2.999999995102124,0
cleaned_transformed_ds6.csv,out5_8sec_shift,2,3,2,2,0,3.9999999950196377,4.999999995292546,1.999999994829303,0.0,0
cleaned_transformed_ds6.csv,out5_8sec_shift_noise,2,3,2,2,0,3.9999999950196377,4.999999995292546,1.999999994829303,0.0,0
cleaned_transformed_ds6.csv,out5_8sec_shift_filt,2,3,2,4,0,3.9999999950191447,4.999999995292099,1.999999994829735,3.999999995019484,0
cleaned_transformed_ds6.csv,out5_8sec_shift_noise_filt,2,3,2,4,0,3.9999999950191447,4.999999995292099,1.999999994829735,3.999999995019484,0
cleaned_transformed_ds6.csv,out5_10sec_shift,2,3,2,4,0,3.9999999950192935,4.99999999529229,1.999999994829128,2.999999995102124,0
cleaned_transformed_ds6.csv,out5_10sec_shift_noise,2,3,2,4,0,3.9999999950192935,4.99999999529229,1.999999994829128,2.999999995102124,0
cleaned_transformed_ds6.csv,out5_10sec_shift_filt,2,3,2,4,0,3.999999994663514,4.999999995292003,1.999999994829152,4.999999995292003,0
cleaned_transformed_ds6.csv,out5_10sec_shift_noise_filt,2,3,2,4,0,3.999999994663514,4.999999995292003,1.999999994829152,4.999999995292003,0
cleaned_transformed_ds6.csv,out6_2sec_shift,4,3,4,0,0,3.999999994663514,4.999999995292003,1.999999994829152,4.999999995292003,0
cleaned_transformed_ds6.csv,out6_2sec_shift_noise,4,3,4,0,0,3.999999994663514,4.999999995292003,1.999999994829152,4.999999995292003,0
cleaned_transformed_ds6.csv,out6_2sec_shift_filt,4,3,4,3,0,3.9999999462179416,3.9999999462179416,2.0000001507446536,1.0000000753723268,0
cleaned_transformed_ds6.csv,out6_2sec_shift_noise_filt,4,3,4,3,0,3.9999999462179416,3.9999999462179416,2.0000001507446536,1.0000000753723268,0
cleaned_transformed_ds6.csv,out6_4sec_shift,4,3,4,0,0,3.9999999462179416,3.9999999462179416,2.0000001507446536,1.0000000753723268,0
cleaned_transformed_ds6.csv,out6_4sec_shift_noise,4,3,4,0,0,3.9999999462179416,3.9999999462179416,2.0000001507446536,1.0000000753723268,0
cleaned_transformed_ds6.csv,out6_4sec_shift_filt,4,3,4,0,0,3.9999999950191367,3.9999999950191367,1.9999999948293945,2.999999995102174,0
cleaned_transformed_ds6.csv,out6_4sec_shift_noise_filt,4,3,4,0,0,3.9999999950191367,3.9999999950191367,1.9999999948293945,2.999999995102174,0
cleaned_transformed_ds6.csv,out6_6sec_shift,4,3,4,3,0,3.9999999749554953,3.9999999749554953,2.000000165113432,3.9999999749554953,0
cleaned_transformed_ds6.csv,out6_6sec_shift_noise,4,3,4,3,0,3.9999999749554953,3.9999999749554953,2.000000165113432,3.9999999749554953,0
cleaned_transformed_ds6.csv,out6_6sec_shift_filt,4,3,4,3,0,3.9999999950191367,3.9999999950191367,1.9999999948293945,2.999999995102174,0
cleaned_transformed_ds6.csv,out6_6sec_shift_noise_filt,4,3,4,3,0,3.9999999950191367,3.9999999950191367,1.9999999948293945,2.999999995102174,0
cleaned_transformed_ds6.csv,out6_8sec_shift,4,3,4,3,0,3.9999999462179416,3.9999999462179416,2.0000001507446536,1.0000000753723268,0
cleaned_transformed_ds6.csv,out6_8sec_shift_noise,4,3,4,3,0,3.9999999462179416,3.9999999462179416,2.0000001507446536,1.0000000753723268,0
cleaned_transformed_ds6.csv,out6_8sec_shift_filt,4,3,4,3,0,3.9999999462179416,3.9999999462179416,2.0000001507446536,1.0000000753723268,0
cleaned_transformed_ds6.csv,out6_8sec_shift_noise_filt,4,3,4,3,0,3.9999999462179416,3.9999999462179416,2.0000001507446536,1.0000000753723268,0
cleaned_transformed_ds6.csv,out6_10sec_shift,4,3,4,3,0,3.9999999950191367,3.9999999950191367,1.9999999948293945,2.999999995102174,0
cleaned_transformed_ds6.csv,out6_10sec_shift_noise,4,3,4,3,0,3.9999999950191367,3.9999999950191367,1.9999999948293945,2.999999995102174,0
cleaned_transformed_ds6.csv,out6_10sec_shift_filt,4,3,4,0,0,0.0,3.9999999950194174,1.9999999950071885,0.999999994912198,0
cleaned_transformed_ds6.csv,out6_10sec_shift_noise_filt,4,3,4,0,0,0.0,3.9999999950194174,1.9999999950071885,0.999999994912198,0
cleaned_transformed_ds6.csv,out7_2sec_shift,4,3,2,0,0,0.0,3.9999999950194174,1.9999999950071885,0.999999994912198,0
cleaned_transformed_ds6.csv,out7_2sec_shift_noise,4,3,2,0,0,0.0,3.9999999950194174,1.9999999950071885,0.999999994912198,0
cleaned_transformed_ds6.csv,out7_2sec_shift_filt,4,3,2,3,0,4.999999995292119,4.999999995292119,0.9999999949121458,0.0,0
cleaned_transformed_ds6.csv,out7_2sec_shift_noise_filt,4,3,2,3,0,4.999999995292119,4.999999995292119,0.9999999949121458,0.0,0
cleaned_transformed_ds6.csv,out7_4sec_shift,4,3,2,0,0,4.999999995292067,4.999999995292067,0.9999999949123388,1.999999994829388,0
cleaned_transformed_ds6.csv,out7_4sec_shift_noise,4,3,2,0,0,4.999999995292067,4.999999995292067,0.9999999949123388,1.999999994829388,0
cleaned_transformed_ds6.csv,out7_4sec_shift_filt,4,3,2,0,0,4.999999995292,4.999999995292,3.99999999466366,4.999999995292,0
