in1,in2,in3,in4,in5,in6,in7,in8,out1,out2,out3,out4,out5,out6,out7,out8,,,,,,,,
18.691,-13.268,42.807,36.528,260.73,84.863,0.46395,10.255,1.69E+05,603.89,659.34,287.85,336.7,14.122,4690.9,19.836,,,,,,,,
18.809,-12.917,43.292,33.697,261.51,84.339,0.46787,10.228,1.52E+05,599.86,655.61,279.36,356.41,14.133,4952.2,19.131,,,,,,,,
18.949,-12.749,43.782,29.222,262.61,83.921,0.47256,10.209,1.40E+05,598.1,653.87,273.83,363.89,14.144,5112.5,18.576,,,,,,,,
19.071,-12.396,44.749,26.318,263.31,83.413,0.47416,10.232,1.29E+05,593.58,650.53,268.46,368.96,14.125,4974.8,18.507,,,,,,,,
19.191,-12.015,44.927,2.333,264.27,82.98,0.47854,10.149,1.16E+05,588.04,645.92,256.74,409.98,14.161,5728,17.199,,,,,,,,
19.325,-11.645,39.689,17.149,265.22,82.53,0.48051,10.189,1.07E+05,584.55,643.19,249.5,407.48,14.135,5435.6,17.262,,,,,,,,
19.437,-11.418,42.422,13.389,265.97,81.905,0.48642,10.118,99816,579.91,640.05,241.89,437.24,14.162,6058.2,16.261,,,,,,,,
19.56,-11.07,56.634,11.282,266.89,81.476,0.48433,10.154,1.00E+05,572.32,636.08,240.12,442.26,14.142,5795.6,16.397,,,,,,,,
19.706,-10.668,52.511,0.07777,267.9,81.066,0.4923,1.024,79709,566.41,631.92,236.5,447.79,14.093,5097.8,16.591,,,,,,,,
19.819,-10.499,52.306,0.00296,268.62,80.401,0.49431,10.163,85366,564.01,630.64,228.28,461.85,14.127,5758.4,15.83,,,,,,,,
19.953,-10.146,5.06,0.01277,269.71,80.016,0.49536,10.009,1.09E+05,558.48,625.57,213.24,525.81,14.144,7216.3,14.175,,,,,,,,
19.996,-10.124,50.862,-0.00632,270,79.755,0.49473,10.056,1.04E+05,559.12,626.97,214.78,500.67,14.14,6771.1,14.656,,,,,,,,
19.955,-10.125,50.536,0.01224,269.61,79.778,0.49833,10.066,96087,558,626.19,217.21,502.51,14.141,6655,14.678,,,,,,,,
19.899,-10.455,50.029,-0.00515,269.3,80.104,0.49573,10.137,87478,564.3,630.91,224.93,463.13,14.135,5982.3,15.546,,,,,,,,
19.847,-10.501,49.987,-0.00162,268.87,80.4,0.4924,10.181,86913,565.71,631.63,227.74,453.41,14.119,5618.5,16.022,,,,,,,,
19.771,-10.59,49.622,0.00289,268.42,80.441,0.49483,10.155,85937,565.95,631.72,228.67,458.62,14.133,5814.4,15.831,,,,,,,,
19.708,-10.873,49.249,0.01076,267.98,80.852,0.49397,1.014,85256,570.13,634.22,231.91,449.64,14.145,5903.9,15.869,,,,,,,,
19.645,-10.996,48.959,0.01487,267.41,81.193,0.48993,10.162,88400,572.7,635.7,234.24,439.26,14.138,5715,16.254,,,,,,,,
19.568,-11.25,48.436,0.00106,267.03,81.19,0.48966,10.198,91383,577,638.86,239.66,417.02,14.128,5371.5,16.854,,,,,,,,
19.507,-11.25,48.285,0.0005,266.55,81.669,0.48872,10.168,89239,576.29,637.72,238.75,431.1,14.14,5629.3,16.509,,,,,,,,
19.449,-11.58,48.045,0.00553,266.18,81.902,0.49014,10.153,89599,580.85,640.73,243.23,420.18,14.155,5697,16.542,,,,,,,,
19.387,-11.626,47.783,-0.00266,265.77,82.179,0.49042,10.204,87332,581.07,640.76,247.95,411.86,14.132,5253.8,17.041,,,,,,,,
19.311,-11.715,41.622,1.427,265.21,82.332,0.4831,10.171,1.06E+05,584.87,643.52,249.24,409.17,14.147,5568.2,17.086,,,,,,,,
