in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6,out7,out8,,,,,,,,,
19.05,348.9,1499.9,-13.164,25.684,10.094,8468.4,13.666,58.696,500.8,9.85E+05,599.38,518.15,2068.6,,,,,,,,,
20.555,348.75,1500,-12.069,25.793,10.091,8445.9,13.674,59.776,471.99,9.98E+05,605.5,524.42,2043.9,,,,,,,,,
20.495,344.28,1500,-10.961,25.904,10.107,8324.3,13.666,59.028,464.92,9.75E+05,604.12,522.97,2044.4,,,,,,,,,
20.862,341,1499.9,-0.99335,26.016,10.116,8259.6,13.662,58.787,452.04,9.67E+05,604.79,523.54,2039.1,,,,,,,,,
22.161,335.68,1500,-0.87435,26.127,10.144,7996.9,13.654,58.889,421.76,9.33E+05,608.63,527.4,2014.2,,,,,,,,,
23.563,334.67,1500,-0.76483,26.235,10.158,7835.7,13.655,59.739,398.76,9.19E+05,614.06,532.98,1986.1,,,,,,,,,
23.778,334.07,1500,-0.65548,26.345,10.139,8003.4,13.663,59.848,391.86,9.53E+05,614.9,533.44,1988.4,,,,,,,,,
23.394,331.02,1499.9,-0.5461,26.454,10.188,7611.4,13.639,58.985,396.61,8.71E+05,612.26,531.52,1984.5,,,,,,,,,
24.801,324.01,1500,-0.43119,26.569,10.213,7408.1,13.628,58.934,364.77,8.48E+05,616.1,534.76,1960.9,,,,,,,,,
27.13,321.38,1500,-0.32792,26.683,10.199,7482.3,13.644,60.333,328.89,8.91E+05,625.16,542.68,1920,,,,,,,,,
26.395,323.79,1499.8,-0.2047,26.795,10.214,7365.1,13.636,60.078,342.58,8.57E+05,622.65,541.16,1928.4,,,,,,,,,
27.224,311.81,1500,-0.09745,26.903,10.225,7337.7,13.624,58.902,313.54,8.59E+05,622.72,539.6,1926.3,,,,,,,,,
28.8,313.71,1500,0.01323,27.013,10.257,7041.1,13.618,60.306,301.84,8.19E+05,629.79,546.9,1875.7,,,,,,,,,
28.735,308.26,1500,0.12258,27.123,10.257,7074.5,13.612,5.943,294.03,8.22E+05,627.91,544.45,1887.2,,,,,,,,,
29.9,307.87,1500,0.23517,27.235,10.259,7040.5,13.617,60.263,282.45,8.29E+05,632.75,548.76,1853.5,,,,,,,,,
29.806,305.4,1499.9,0.35006,27.35,10.263,7027.3,13.612,59.796,279.7,8.23E+05,631.58,547.52,1860.1,,,,,,,,,
31.156,300.12,1499.9,0.45953,27.46,10.302,6739.3,13.594,59.956,263.41,7.81E+05,635.64,550.7,1819.4,,,,,,,,,
32.43,293.73,1500,0.57378,27.574,1.031,6696.4,13.59,59.969,246.41,7.87E+05,639.11,552.54,1785.2,,,,,,,,,
33.458,288.44,1500,0.68374,27.684,10.329,6556.3,13.58,59.928,234.39,7.71E+05,641.83,554,1753.2,,,,,,,,,
33.889,281.83,1500,0.79448,27.794,10.316,6696.1,13.584,59.291,223.37,8.01E+05,641.57,552.39,1754.2,,,,,,,,,
34.652,274.36,1499.9,0.9037,27.904,10.319,6702,13.58,58.742,210.95,8.09E+05,642.37,551.58,1741.4,,,,,,,,,
35.597,268.52,1499.9,10.151,28.015,1.037,6305.2,13.55,58.471,201.76,7.46E+05,644.46,552.61,1712.5,,,,,,,,,
37.676,250.65,1500,11.227,28.123,1.036,6422.5,13.556,57.411,175.27,7.91E+05,647.32,550.2,1673.1,,,,,,,,,
39.699,240.86,1499.9,12.352,28.235,10.366,6347.9,13.565,5.752,161.61,8.00E+05,652.81,551.13,1603,,,,,,,,,
40.1,244.32,1500.1,1.347,28.347,10.383,6176.5,13.563,58.353,165.37,7.70E+05,655.93,554.21,1567,,,,,,,,,
39.289,233.69,1499.8,14.603,28.46,10.392,6207.4,13.536,55.972,153.98,7.67E+05,648.36,547.36,1654.9,,,,,,,,,
42.614,215.82,1500,15.689,28.569,1.041,5986.3,13.552,55.858,134.44,7.56E+05,657.21,548.87,1540.4,,,,,,,,,
44.208,207.93,1500.1,16.832,28.683,10.422,5824.4,13.562,55.905,128.03,7.33E+05,662.21,551.44,1475.8,,,,,,,,,
44.316,206.12,1500,17.897,28.79,10.412,5896.2,13.569,55.719,126.11,7.48E+05,662.07,550.99,1475.7,,,,,,,,,
44.392,202.77,1499.9,1.901,28.901,10.436,5743.8,13.55,55.178,122.35,7.17E+05,661.3,550.1,1485.1,,,,,,,,,
46.001,184.37,1499.9,2.012,29.012,10.436,5704.2,13.558,53.569,106.18,7.21E+05,663.09,548.73,1454.3,,,,,,,,,
47.738,176.51,1499.9,21.255,29.125,10.471,5341.1,13.557,53.687,102.22,6.52E+05,669.84,554.55,1363.1,,,,,,,,,
49.688,155.67,1499.9,22.352,29.235,1.048,5169.5,13.566,51.945,86.886,6.32E+05,673.43,555.64,1295.2,,,,,,,,,
52.043,145.65,1499.8,23.501,29.35,10.478,4876.5,13.606,52.363,84.51,5.93E+05,683.08,564.88,1144.2,,,,,,,,,
53.917,134.71,1499.9,24.644,29.464,10.481,4595,13.633,52.227,79.889,5.59E+05,689.68,571.27,1032.3,,,,,,,,,
55.768,120.43,1500.1,25.694,29.569,10.487,4304.4,13.656,51.526,72.126,5.29E+05,694.84,576.19,935,,,,,,,,,
56.225,118.38,1499.9,26.783,29.678,10.525,4077.7,13.635,51.518,71.238,4.78E+05,696.67,578.81,902.62,,,,,,,,,
56.826,106.43,1499.7,27.924,29.792,10.516,4069.4,13.641,50.048,62.485,4.92E+05,695.53,576.3,897.65,,,,,,,,,
58.926,97.713,1500.1,29.033,29.903,1.053,3668.8,13.674,50.575,60.323,4.40E+05,704.04,587.07,772.26,,,,,,,,,
59.197,90.635,1499.9,3.019,30.019,10.542,3617.9,13.662,49.571,55.182,4.32E+05,702.92,585.17,774.37,,,,,,,,,
