in1,in2,in3,in4,out1,out2,,,
-10.18,35.51,3000,596.63,2579,1924.9,,,
-8.963,34.931,3000,607.41,2593.4,1913.1,,,
-89.684,34.414,2999.9,603.5,2587.3,1914.1,,,
-83.763,34.667,3000,598.93,2571.1,1920,,,
-75.354,34.732,3000,599.98,2565.6,1920.1,,,
-73.542,34.263,3000,598.74,2563.3,1919.1,,,
-70.712,34.68,3000,598.68,2559,1921.4,,,
-62.648,34.264,3000,600.05,2556.6,1918.9,,,
-6.322,34.107,3000,603.81,2565.7,1914.7,,,
-53.705,33.675,3000,600.93,2553.4,1916,,,
-47.385,33.971,3000,600.76,2546.5,1918.2,,,
-44.958,33.482,3000,601.94,2549.1,1915,,,
-32.765,33.544,3000,595.99,2527.4,1921.8,,,
-29.253,33.584,3000,602.01,2537,1916.9,,,
-22.233,33.518,3000,596.6,2521.6,1922.1,,,
-15.253,33.74,3000,602.11,2527.5,1918.9,,,
-16.581,33.373,3000,599.15,2524.1,1919.6,,,
-0.89271,32.774,3000,599.16,2523.3,1917.4,,,
-0.19668,32.893,3000,602.43,2526.3,1915.7,,,
0.38073,32.736,3000,599.36,2519.6,1918.1,,,
14.488,32.577,3000,596.94,2514.3,1920.4,,,
13.204,32.374,3000,599.73,2520.8,1916.9,,,
18.819,32.118,3000,602.76,2527.5,1913.4,,,
29.221,32.24,3000,598.92,2518.5,1918.3,,,
2.703,32.362,3000,597.19,2514.9,1920.2,,,
30.677,32.023,3000,601.04,2523.5,1915.5,,,
40.689,31.572,2999.9,601.59,2522.7,1913.7,,,
37.957,32.064,3000,598.41,2515.8,1918.6,,,
29.064,31.735,3000,599.81,2522.8,1915.1,,,
29.307,32.146,3000,601.93,2524.8,1915.2,,,
30.534,32.063,3000,601.12,2523.4,1915.6,,,
23.358,32.693,3000,596.3,2511.7,1922.3,,,
1.839,32.887,3000,600.63,2519.1,1919,,,
0.90947,32.705,3000,601.01,2521.9,1917,,,
0.25794,32.756,3000,602.7,2526.2,1915.2,,,
-0.85936,33.183,3000,595.97,2514.8,1922.2,,,
-0.39996,32.957,3000,600.96,2523.9,1917.1,,,
-0.60507,33.253,3000,600.31,2521.8,1918.9,,,
-23.755,33.336,3000,600.48,2531.3,1917.6,,,
-21.269,33.579,3000,599.68,2526.9,1919.7,,,
-30.044,33.741,3000,597.49,2527.6,1921.7,,,
-31.344,33.917,3000,599.78,2532.4,1920.3,,,
-31.519,33.912,3000,600.72,2534.4,1919.5,,,
-49.877,34.185,3000,599.88,2545.8,1919.9,,,
-57.254,34.146,3000,601.18,2554.8,1917.8,,,
-59.878,34.496,3000,599.03,2551.1,1921.2,,,
-60.511,34.481,3000,599.75,2553.2,1920.4,,,
-6.948,34.277,3000,600.37,2563.1,1918,,,
-70.619,34.19,3000,599.31,2562.3,1918.5,,,
-70.198,34.463,3000,599.36,2560.8,1919.8,,,
-88.736,34.606,3000,598.35,2574.6,1919.8,,,
-88.166,35.38,3000,597.1,2568.2,1924.8,,,
-9.419,35.609,3000,599.21,2577.2,1923.6,,,
-98.748,35.854,3000,599.8,2581.5,1923.9,,,
-10.889,35.108,3000,602.06,2598.9,1917.6,,,
-10.861,35.501,3000,600.7,2594,1920.7,,,
-11.059,35.599,3000,598.78,2591.3,1922.9,,,
-12.613,35.75,3000,596.83,2601,1925,,,
-13.253,35.834,3000,598.45,2610.2,1924.2,,,
-13.769,35.824,3000,599.58,2617.6,1923.5,,,
-14.129,36.223,3000,601.39,2623.3,1924.3,,,
