Filename,Input,Output,CrossCorr2,PolyRegre2,LinRegre2,ARXM2,LSTM2
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_4sec_shift_noise,[ -56742.3024264    56229.84138972 4143916.76153989  352242.04350869],[3008.96538673  738.46088111 2000.81065795    0.        ],[27023.76163331 -1512.37287055  2100.62855714 12461.14223807],[0.24588889 1.8720765  0.99979325 0.80103327],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_4sec_shift_filt,[ -56741.67456021   56229.21919402 4143870.90817975  352238.14587218],[3000.16268081  738.41858763 2000.81380375    0.        ],[ 26835.75943474  -1513.11453305   2059.39060591 390688.37198353],[35.02041488  0.15953548  0.99965335  2.1126875 ],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_4sec_shift_noise_filt,[ -56741.34858789   56228.89616568 4143847.10226907  352236.12231739],[2933.55848323  738.20558863 2000.81560173    0.        ],[ 27299.7005212   -1513.34384744   2059.29547445 234648.55812149],[-0.05466603  0.13150454  0.99964415  2.2293249 ],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_6sec_shift,[ -56741.99958502   56229.5412834  4143894.64489239  352240.16354499],[3773.83755364  748.48254229 2000.82396723    0.        ],[ 33044.24487048  -1538.65746979   2055.93145024 -25394.63577832],[ 6.59639798 16.3593481   0.99979213  1.02974016],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_6sec_shift_noise,[ -56741.65505134   56229.19986134 4143869.48343742  352238.02476595],[3791.00760732  748.68482611 2000.82363248    0.        ],[ 32664.682729    -1539.47368817   2057.38355971 -27107.08803704],[4.17836976 3.96122954 0.99976898 1.04263494],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_6sec_shift_filt,[ -56741.90714956   56229.44968277 4143887.89428817  352239.58972878],[3770.60982759  748.61874708 2000.82433887    0.        ],[ 33123.68450829  -1540.27021664   2065.24552846 -30252.35083758],[0.9205847  0.67224669 1.00120023 1.78633663],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_6sec_shift_noise_filt,[ -56742.52904553   56230.06596216 4143933.31164011  352243.45030363],[3812.83427379  747.95409062 2000.82458579    0.        ],[ 32259.28121165  -1539.13863002   2066.82030081 -32542.55186421],[0.89600837 0.70945032 1.001544   1.68705718],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_8sec_shift,[ -56741.9352097    56229.47748949 4143889.9435334   352239.76391913],[6718.57378377  761.32624928 2000.83246595    0.        ],[ 47225.55317108  -1577.85848684   2089.21242364 -63285.34153759],[-56.95914027  -3.38545      1.00017469   0.80282869],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_8sec_shift_noise,[ -56742.38963683   56229.92781252 4143923.13055824  352242.58488927],[6611.54691277  761.5918844  2000.83490531    0.        ],[ 47589.89073629  -1578.61251292   2098.10840883 -53800.96045238],[ 4.78272062 -7.474819    1.00023262  0.80852262],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_8sec_shift_filt,[ -56741.94330445   56229.48551113 4143890.53469658  352239.8141693 ],[6915.66590931  761.31380833 2000.83312299    0.        ],[  47880.4784692    -1579.36506329    2109.74523362 -292897.68557436],[1.73008675 0.95398411 1.00236788 0.3576197 ],0
