in1,in2,in3,in4,out1,out2,,
-23.048,38.648,4400,303.38,2084.3,1965.9,,
-23.424,38.88,4400,305.23,2075.8,1965.1,,
-24.198,38.97,4400,305.41,2052.8,1964.4,,
-24.937,38.984,4400,304.88,2029.8,1963.9,,
-24.788,38.93,4400,306.39,2037.9,1962.6,,
-25.751,39.601,4400,306.07,2004.8,1964.4,,
-26.489,39.92,4400,306.77,1983,1963.7,,
-26.387,40.156,4399.9,304.94,1980.4,1966.7,,
-26.196,39.804,4400,303.92,1985.9,1966.4,,
-26.926,39.97,4399.9,301.38,1958.3,1967.7,,
-28.042,40.016,4400,305.51,1935.2,1960.1,,
-28.765,40.088,4400,306.92,1917.2,1955.3,,
-29.383,40.126,4400,305.9,1897.4,1952.5,,
-28.899,40.359,4399.9,305.78,1909.3,1957.1,,
-29.522,40.597,4400,302.83,1883.9,1957.3,,
-30.488,40.908,4400.1,302.89,1855.2,1950.6,,
-31.58,41.065,4400,306.23,1831,1933.9,,
-32.068,41.836,4399.9,305.83,1812,1931.9,,
-32.028,42.426,4400,306.11,1810.1,1936,,
-33.24,42.587,4400,306.32,1776.4,1915.1,,
-33.887,42.568,4400,303.2,1752.5,1906.3,,
-34.083,42.827,4400,302.15,1743.5,1905.5,,
-34.69,42.601,4400,307.54,1739.6,1883.3,,
-35.242,42.38,4400,306.26,1723.4,1872.2,,
-34.729,42.634,4399.9,304.57,1732.2,1886.9,,
-35.132,42.361,4400,303.55,1720.9,1878,,
-35.033,42.409,4400,303.95,1724.1,1879.8,,
-35.176,42.458,4399.9,304.29,1720.7,1876.7,,
-35.006,42.426,4400,307.38,1731.8,1875.8,,
-34.967,42.528,4400.1,307.41,1732.3,1877.2,,
-35.188,42.425,4400,304.08,1720.2,1876.5,,
-34.752,42.47,4400.1,304.53,1732.5,1885.3,,
-35.069,42.57,4400.1,303.87,1722,1880.2,,
-35.243,42.41,4399.9,305.08,1720.8,1873.9,,
-34.815,42.444,4400.1,302.63,1727.1,1886.5,,
-35.088,42.302,4400,306.12,1727.7,1875,,
-34.57,41.218,4399.8,307,1749.9,1877.6,,
-33.843,40.5,4400.2,306.01,1771.9,1889.1,,
-33.383,40.611,4400,305.95,1783.6,1899.4,,
-32.489,39.755,4400,303.92,1809,1913.6,,
-32.346,39.89,4400,303.72,1811.7,1917.3,,
-32.025,39.76,4400,302.78,1819.3,1923.2,,
-30.834,39.464,4400,306.15,1861.3,1934.2,,
-30.715,39.32,4400,307.58,1868.6,1933,,
-30.005,39.053,4400,304.88,1884.3,1942.3,,
-29.646,38.789,4400,303.62,1893.3,1945.5,,
-29.016,38.423,4400,303.18,1912.4,1948.7,,
-28.328,38.144,4400,305.58,1938.9,1948.9,,
-28.143,37.937,4400,307.26,1949.1,1947.1,,
-27.339,37.665,4400,305.95,1971,1950.6,,
-26.812,37.231,4400,305.57,1988.1,1950.7,,
-26.359,37.149,4400,302.21,1994.3,1954.6,,
-25.886,36.93,4400,303.95,2013.2,1953.1,,
-24.891,36.674,4400,305.35,2047.1,1952.6,,
-24.233,36.167,4400,305.65,2070.5,1951,,
-24.29,36.125,4400,306.1,2070.1,1950.3,,
-23.873,35.893,4400,306.16,2084.1,1949.7,,
-23.274,35.922,4400,303.94,2096.7,1952.5,,
-22.67,35.11,4400,303.68,2119.7,1949.5,,
-21.907,34.72,4400,302.89,2143.6,1949.1,,
-21.602,34.554,4400,306.08,2161.3,1945.9,,
-20.651,34.051,4400,306.46,2194.9,1944,,
-20.365,33.91,4400,306.37,2204.6,1943.7,,
-19.716,33.875,4400,303.11,2217.4,1946.7,,
-19.846,33.469,4400,302.36,2214.4,1945.4,,
-18.654,33.361,4400,305.72,2260.3,1942.9,,
-18.257,33.129,4400,306.35,2275.7,1941.6,,
-18.119,32.823,4400,305.89,2281,1940.6,,
-16.79,32.569,4400,306.13,2321.8,1940.1,,
-17.446,31.926,4400,304.08,2303,1938.5,,
-16.059,32.247,4400,302.58,2333.8,1942.1,,
-15.364,31.692,4400,303.45,2352.4,1939.2,,
-14.569,31.157,4400,306.88,2370.8,1934.4,,
-14.419,31.065,4400,306.91,2371.9,1934.1,,
-13.96,30.954,4400,305.17,2369.4,1935.3,,
-13.548,30.658,4400,303.17,2364.6,1935.9,,
-12.471,30.36,4400,303.64,2353.6,1934.8,,
-12.257,30.303,4400,306.15,2354.6,1932.5,,
-11.351,29.905,4400,307.15,2339.9,1930.4,,
-11.003,29.755,4400,305.66,2330.8,1931.2,,
-10.943,29.405,4400,303.41,2326,1931.5,,
-10.739,29.205,4400,302.81,2321.2,1931.2,,
-92.511,28.524,4400,305.5,2301.4,1926.8,,
-88.191,28.277,4400,308.15,2300.3,1923.7,,
-84.297,27.807,4400,303.87,2288.2,1925.4,,
-79.386,28.169,4400,302,2277.5,1928.9,,
-7.646,27.538,4400,306.87,2284.6,1922.1,,
-74.727,27.403,4400,307.36,2283.9,1921.2,,
-63.505,27.293,4400,302.8,2263.4,1925.2,,
-56.092,26.853,4400,303.68,2259.1,1922.9,,
-5.343,26.804,4400,304.44,2258.1,1922.2,,
-47.887,26.428,4400,304.14,2253.7,1921,,
-4.87,26.655,4400,306.43,2258,1920.1,,
-44.951,26.067,4400,307.81,2259.3,1916.5,,
-32.835,25.283,4400,305.25,2246.6,1915.8,,
-2.822,25.118,4400,303.29,2239.5,1917,,
-2.479,25.26,4400,303.59,2236.6,1917.6,,
-17.736,25.08,4400,303.5,2231.1,1917.3,,
-10.053,24.489,4400,307.69,2234.9,1911.6,,
-16.086,24.174,4400,306.58,2239,1910.7,,
-0.59747,24.176,4400,303.23,2223.8,1914.1,,
0.64639,23.626,4400,302.17,2212.1,1913.2,,
0.95148,23.277,4400,306.93,2219.8,1907.8,,
17.517,23.31,4400,306.88,2210.8,1908.5,,
19.331,23.138,4400,303.03,2201,1911.1,,
18.687,23.024,4400,302.62,2201.3,1910.8,,
31.935,22.029,4400,306.79,2192.3,1903.6,,
37.475,21.949,4400,307.27,2181.8,1903.2,,
36.025,22.463,4400,304.28,2177.1,1908,,
29.431,22.227,4400,303.21,2188.2,1907.4,,
27.071,22.826,4400,303.56,2191.7,1909.7,,
22.682,22.728,4400,305.57,2203.1,1907.3,,
22.539,23.01,4400,306.29,2204,1908,,
11.116,23.359,4400,307.22,2218.5,1908.1,,
0.48582,23.828,4400,302.85,2214.4,1913.5,,
0.36311,23.96,4400,303.4,2216.2,1913.5,,
-0.055972,24.646,4400,305.79,2222.3,1914.4,,
0.015099,24.489,4400,308.73,2228,1911.3,,
-11.664,24.832,4400,304.87,2229.5,1915.4,,
-25.406,25.037,4400,301.46,2233.9,1918.3,,
-27.515,25.308,4400,303.86,2239.3,1917.4,,
-29.084,25.596,4400,306.86,2245.3,1916.1,,
-32.798,25.646,4400,307.24,2249.1,1915.8,,
-48.235,26.01,4400,302.62,2252.6,1920.4,,
-47.412,26.289,4400,303.01,2251.6,1921.4,,
-54.124,26.904,4400,306.71,2262.8,1920.7,,
-54.302,27.12,4400,306.72,2262.3,1921.7,,
-60.342,27.162,4400,306.06,2266.8,1922,,
-67.053,27.356,4400,303.91,2269,1924.3,,
-71.926,27.895,4400,303.99,2272.9,1926.4,,
-73.871,28.148,4400,302.61,2271.9,1928.6,,
-80.048,27.881,4400,305.96,2286.4,1924.2,,
-81.903,28.042,4400,307.25,2290.7,1923.8,,
-92.527,28.839,4400,305.5,2300.9,1928.2,,
-98.237,29.376,4400,303.91,2306.5,1931.7,,
-10.294,29.302,4400,303.46,2314.1,1931.4,,
-10.934,29.969,4400,303.54,2325.7,1934,,
-11.669,30.074,4400,306.99,2345.5,1931.1,,
-11.917,30.191,4400,307.53,2351,1931.1,,
-12.949,30.476,4400,304.09,2361,1934.6,,
-13.042,30.616,4400,303.32,2360.6,1935.9,,
-13.325,30.896,4400,304.07,2364.3,1936.3,,
-14.357,31.264,4400,306.42,2370.5,1935.4,,
-14.738,31.241,4400,306.69,2368.9,1934.8,,
-15.259,31.636,4400,304.13,2355.8,1938.5,,
-16.099,32.366,4400,302.34,2331.6,1942.8,,
-16.044,32.331,4400,306.21,2341.9,1939.4,,
-17.118,32.857,4400,307,2312.9,1940.5,,
-17.448,33.18,4400,304.4,2295.1,1944,,
-17.923,33.294,4400,302.89,2276.5,1945.4,,
-18.213,33.343,4400,303.48,2268.7,1945,,
-18.881,33.644,4400,305.72,2251.2,1944.1,,
-19.188,34.003,4400,306.65,2241.3,1944.7,,
-19.691,34.292,4400,304.33,2218.2,1947.6,,
-20.331,34.165,4400,306.17,2203.4,1945,,
-21.074,34.68,4400,305.66,2175.7,1947.3,,
-21.103,34.799,4400,303.2,2168.3,1949.9,,
-21.77,35.045,4400,302.67,2145,1950.9,,
-22.196,35.204,4400,305,2136.4,1949.3,,
-22.424,35.395,4400,305.21,2128.7,1949.8,,
-22.924,35.799,4400,305.94,2112.6,1950.6,,
