in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6,out7,out8,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
36.629,233.77,2300.0,15.777,14.256,0.98047,11955.0,13.83,83.392,114.19,3110000.0,732.32,623.64,812.19,,,,,,,,,
38.153,229.18,2300.0,16.894,13.92,0.98004,11852.0,13.86,83.987,106.18,3070000.0,737.76,627.55,751.6,,,,,,,,,
39.022,224.15,2300.0,18.007,13.584,0.9794,11878.0,13.872,8.392,99.447,3060000.0,739.96,628.94,726.66,,,,,,,,,
39.118,221.22,2300.0,19.135,13.242,0.97899,11972.0,13.868,83.445,94.956,3080000.0,739.13,627.64,732.77,,,,,,,,,
40.215,216.34,2300.0,20.263,12.905,0.97804,12002.0,13.884,83.733,89.262,3070000.0,742.49,630.78,700.25,,,,,,,,,
41.15,210.68,2300.0,2.138,12.57,0.97759,11964.0,13.898,83.703,83.469,3050000.0,744.89,633.17,673.91,,,,,,,,,
42.036,207.29,2299.9,22.511,12.236,0.97663,11999.0,13.911,84.166,80.014,3050000.0,747.73,636.74,650.98,,,,,,,,,
43.037,203.65,2300.0,23.632,11.902,0.9759,11959.0,13.928,84.767,76.887,3030000.0,751.08,641.32,623.17,,,,,,,,,
43.651,198.79,2300.0,24.749,11.563,0.97468,12116.0,13.93,84.606,72.264,3050000.0,752.18,642.68,616.67,,,,,,,,,
44.395,192.09,2299.9,25.858,11.234,0.97375,12208.0,13.934,8.42,66.635,3070000.0,753.42,644.07,605.27,,,,,,,,,
44.99,185.85,2299.9,26.963,10.908,0.97297,12298.0,13.936,83.668,61.384,3080000.0,754.09,644.72,597.87,,,,,,,,,
45.876,179.6,2299.9,28.018,10.588,0.97207,12339.0,13.945,83.529,56.957,3080000.0,756.18,647.52,580.69,,,,,,,,,
47.235,175.15,2300.0,29.093,10.266,0.9705,12370.0,13.966,84.493,54.992,3070000.0,761.08,654.85,550.65,,,,,,,,,
47.828,171.11,2300.0,3.024,99.284,0.97043,12282.0,13.975,84.398,51.897,3050000.0,762.43,656.87,535.94,,,,,,,,,
48.559,162.35,2299.9,31.372,95.896,0.97028,12237.0,13.979,83.361,45.899,3050000.0,763.09,657.23,522.03,,,,,,,,,
49.584,154.8,2299.9,32.458,92.637,0.96947,12231.0,13.99,83.038,41.62,3040000.0,765.54,660.41,502.24,,,,,,,,,
50.584,150.91,2300.0,33.579,89.295,0.96864,12188.0,14.006,83.581,39.77,3030000.0,768.9,665.47,480.62,,,,,,,,,
51.454,144.37,2300.0,34.718,85.858,0.967,12383.0,14.009,83.319,36.083,3050000.0,770.83,667.95,472.04,,,,,,,,,
52.318,136.29,2299.9,35.827,82.504,0.9664,12383.0,14.015,8.265,31.713,3050000.0,772.36,669.6,457.31,,,,,,,,,
52.933,130.74,2300.0,3.694,79.177,0.96726,12113.0,14.027,82.217,28.619,3010000.0,773.47,671.0,437.65,,,,,,,,,
53.479,122.29,2299.9,38.053,75.838,0.96764,11999.0,14.029,80.951,24.121,2990000.0,773.39,670.17,426.22,,,,,,,,,
