in1,in2,in3,in4,out1_0sec,out2_0sec,out1_2sec_shift,out1_2sec_shift_noise,out1_2sec_shift_filt,out1_2sec_shift_noise_filt,out1_4sec_shift,out1_4sec_shift_noise,out1_4sec_shift_filt,out1_4sec_shift_noise_filt,out1_6sec_shift,out1_6sec_shift_noise,out1_6sec_shift_filt,out1_6sec_shift_noise_filt,out1_8sec_shift,out1_8sec_shift_noise,out1_8sec_shift_filt,out1_8sec_shift_noise_filt,out1_10sec_shift,out1_10sec_shift_noise,out1_10sec_shift_filt,out1_10sec_shift_noise_filt,out2_2sec_shift,out2_2sec_shift_noise,out2_2sec_shift_filt,out2_2sec_shift_noise_filt,out2_4sec_shift,out2_4sec_shift_noise,out2_4sec_shift_filt,out2_4sec_shift_noise_filt,out2_6sec_shift,out2_6sec_shift_noise,out2_6sec_shift_filt,out2_6sec_shift_noise_filt,out2_8sec_shift,out2_8sec_shift_noise,out2_8sec_shift_filt,out2_8sec_shift_noise_filt,out2_10sec_shift,out2_10sec_shift_noise,out2_10sec_shift_filt,out2_10sec_shift_noise_filt
21,-25.897,42.043,2000.0,169.45,1578.5,2494.1,1548.6,1546.728056472191,1548.6503821233146,1547.9694137757483,1515.4,1515.1039097954467,1522.1479160261938,1522.1286259861804,1505.4,1505.3102882329724,1501.5980359787268,1500.2485983045435,1464.2,1464.3994180163402,1470.1095805117943,1470.894869067036,1449.2,1448.9853583546571,1446.981429894705,1446.9773045808106,2494.7,2494.742520541381,2493.142259133132,2493.659007784512,2489.8,2489.5163630545694,2490.7390396978976,2490.042401258684,2488.3,2488.894572576409,2488.882747549315,2488.992347228602,2485.8,2486.4178352146987,2486.718920207188,2486.69181136913,2485.8,2485.362737636529,2486.207645484669,2485.778902709466
22,-26.125,41.856,2000.0,169.24,1574.5,2493.2,1559.4,1557.576179171209,1561.05179946589,1560.260387346606,1538.9,1537.95859207824,1535.36441717484,1535.1182589750867,1514.3,1514.143063112329,1512.249395789046,1511.3074202274693,1488.0,1485.4937048974175,1486.233139070701,1486.7678222046568,1458.6,1457.9259716027289,1457.9944262485938,1457.7966900390588,2492.0,2495.18528698727,2493.2386498628,2493.4491258989488,2492.3,2492.179091874032,2492.146924319921,2491.5659253592494,2490.4,2490.400672235931,2489.7611567676563,2489.592413725764,2488.8,2488.8796824538263,2487.874529541564,2487.446801561608,2485.9,2485.602646898504,2486.1521330338974,2486.113769438509
23,-25.411,41.836,2000.0,169.51,1588.9,2493.4,1578.5,1577.710199868238,1571.7684188942862,1571.1133870495814,1548.6,1548.4412659744369,1548.6503821233146,1548.364129779969,1515.4,1514.7999188731217,1522.1479160261938,1521.7626855814633,1505.4,1506.1713315899444,1501.5980359787268,1501.6987406830535,1464.2,1462.7256468305775,1470.1095805117943,1469.7532376518434,2494.1,2492.5529713414458,2493.348975320362,2493.4829896972806,2494.7,2495.874571938333,2493.142259133132,2492.7168225822284,2489.8,2489.5041272923045,2490.7390396978976,2490.4178644965773,2488.3,2488.533247107832,2488.882747549315,2488.172094956045,2485.8,2485.9276690551096,2486.718920207188,2486.9065330709045
24,-25.039,41.745,2000.0,171.08,1598.9,2491.7,1574.5,1574.8833958986722,1579.5013934941896,1579.1330156595077,1559.4,1559.0943989452917,1561.05179946589,1560.8374712417658,1538.9,1538.7257293633372,1535.36441717484,1535.152572531135,1514.3,1514.5885347448116,1512.249395789046,1511.8793208398042,1488.0,1488.901136556122,1486.233139070701,1485.8670746567698,2493.2,2492.299691249523,2493.313731370694,2493.4311032345986,2492.0,2492.303653543386,2493.2386498628,2492.788951749537,2492.3,2492.319998430557,2492.146924319921,2491.8682625180104,2490.4,2491.728036027804,2489.7611567676563,2489.0756101376664,2488.8,2488.596277149653,2487.874529541564,2487.9726199803554
25,-24.526,41.734,2000.0,173.06,1610.8,2490.2,1588.9,1589.2499926468845,1588.4487192960216,1588.2563153440933,1578.5,1578.704558010092,1571.7684188942862,1571.4309454481852,1548.6,1547.182742514627,1548.6503821233146,1548.445596114086,1515.4,1515.5528931180652,1522.1479160261938,1521.8127899027484,1505.4,1506.4212671749017,1501.5980359787268,1501.2797997947364,2493.4,2494.5122138892234,2492.802346566278,2493.076894680825,2494.1,2492.594365460757,2493.348975320362,2493.031452733355,2494.7,2494.5613456821807,2493.142259133132,2493.2018203913126,2489.8,2488.146573206359,2490.7390396978976,2490.4050841225862,2488.3,2489.22207447283,2488.882747549315,2489.261734910196
26,-23.618,41.689,2000.0,169.48,1616.9,2494.0,1598.9,1597.3135135800958,1599.0280010149304,1598.778786025367,1574.5,1574.9140585988896,1579.5013934941896,1579.0598382161193,1559.4,1558.9296868502145,1561.05179946589,1560.7844639154434,1538.9,1539.5445397000512,1535.36441717484,1535.509809342234,1514.3,1513.6146421482824,1512.249395789046,1512.541968633347,2491.7,2492.568758519001,2491.986985353254,2492.472337002191,2493.2,2493.5680486910296,2493.313731370694,2493.494980576512,2492.0,2492.71251123654,2493.2386498628,2493.502174349419,2492.3,2491.447161530386,2492.146924319921,2492.3114172696487,2490.4,2489.1814426920905,2489.7611567676563,2490.2413450961058
27,-22.799,41.955,2000.0,168.77,1622.8,2496.7,1610.8,1608.646004031628,1608.7646672880896,1608.6944467047692,1588.9,1588.9770285715997,1588.4487192960216,1588.0469128734287,1578.5,1578.998170336482,1571.7684188942862,1571.5789598722058,1548.6,1548.606840639456,1548.6503821233146,1548.9785066950417,1515.4,1515.2586942458902,1522.1479160261938,1522.9282094731,2490.2,2491.684368870686,2492.046797258938,2492.7490778375704,2493.4,2492.123268046235,2492.802346566278,2493.1436843584675,2494.1,2494.400041887538,2493.348975320362,2493.417622062746,2494.7,2496.4281912258525,2493.142259133132,2493.3416441427557,2489.8,2489.102651884809,2490.7390396978976,2490.854970237468
28,-22.509,41.829,2000.0,168.95,1625.6,2496.1,1616.9,1615.7787553852734,1616.267902345705,1616.4358440234353,1598.9,1598.3521871495984,1599.0280010149304,1598.4715169327123,1574.5,1575.0848293706888,1579.5013934941896,1579.5491897586808,1559.4,1559.734334721324,1561.05179946589,1561.3148743360143,1538.9,1538.3489201936777,1535.36441717484,1535.8603548555932,2494.0,2493.8267302093545,2493.7260268778277,2494.213932827665,2491.7,2492.31690071993,2491.986985353254,2491.8522769066167,2493.2,2494.5756446310943,2493.313731370694,2493.162469071471,2492.0,2493.449849982594,2493.2386498628,2493.4480507752005,2492.3,2492.989740452374,2492.146924319921,2492.2517797741384
29,-22.4,41.731,2000.0,169.46,1627.4,2495.2,1622.8,1622.302227558535,1621.5696783436474,1621.6051512651552,1610.8,1611.0402998844836,1608.7646672880896,1608.094442920371,1588.9,1588.3651689532903,1588.4487192960216,1588.574619195992,1578.5,1579.5901594448253,1571.7684188942862,1572.2222505082889,1548.6,1549.9974398261727,1548.6503821233146,1548.691572483,2496.7,2494.922312187424,2495.4492888012164,2495.6289906130414,2490.2,2490.574991132285,2492.046797258938,2491.444122644439,2493.4,2495.108950760343,2492.802346566278,2492.435052599798,2494.1,2494.035763571996,2493.348975320362,2493.415548741358,2494.7,2494.4492638065067,2493.142259133132,2493.5854702610386
30,-21.239,41.963,2000.0,169.35,1629.2,2497.3,1625.6,1627.2759895557112,1625.048037346293,1624.4840321454676,1616.9,1615.692349038062,1616.267902345705,1616.0963258106106,1598.9,1597.0505429594575,1599.0280010149304,1599.4033794869838,1574.5,1576.3180206635914,1579.5013934941896,1580.0692965012206,1559.4,1560.117754380395,1561.05179946589,1560.9097799000826,2496.1,2497.1925829326888,2495.943726091552,2495.91267997494,2494.0,2494.628943606662,2493.7260268778277,2493.059429131324,2491.7,2492.606747385508,2491.986985353254,2491.6144331698297,2493.2,2492.864979196043,2493.313731370694,2492.8919040959327,2492.0,2492.990144946019,2493.2386498628,2493.849545744524
